eq,chi,obj
S(2807) = S(2195),"AMChI=1/C5H7O2/c1-4-5(6)3(2)8-7-4/h3H,1H2,2H3/k8-7/f8-3/r1","atoms:
  0: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  11: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  12: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  13: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-2: {order: 1, stereo_parity: null}
  0-7: {order: 1, stereo_parity: null}
  0-8: {order: 1, stereo_parity: null}
  0-9: {order: 1, stereo_parity: null}
  1-3: {order: 1, stereo_parity: null}
  1-10: {order: 1, stereo_parity: null}
  1-11: {order: 1, stereo_parity: null}
  2-4: {order: 1, stereo_parity: null}
  2-12: {order: 0.9, stereo_parity: null}
  2-13: {order: 1, stereo_parity: null}
  3-4: {order: 1, stereo_parity: null}
  3-5: {order: 1, stereo_parity: null}
  4-6: {order: 1, stereo_parity: null}
  5-12: {order: 0.1, stereo_parity: null}
reactants keys:
- [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
products keys:
- [0, 1, 2, 3, 4, 5, 6, 9, 7, 8, 10, 11, 13, 12]
reaction class: hydrogen migration
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
"
S(281) = HO(21) + C3H4O(267),"AMChI=1/C3H5O2/c1-2-3-5-4-6-3/h2-3H,1H2/k5-4,6-3/f6-4/r0","atoms:
  0: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-1: {order: 1, stereo_parity: null}
  0-5: {order: 1, stereo_parity: null}
  0-6: {order: 1, stereo_parity: null}
  1-2: {order: 1, stereo_parity: null}
  1-7: {order: 1, stereo_parity: null}
  2-4: {order: 1, stereo_parity: null}
  2-8: {order: 0.9, stereo_parity: null}
  2-9: {order: 1, stereo_parity: null}
  3-4: {order: 0.9, stereo_parity: null}
  3-8: {order: 0.1, stereo_parity: null}
reactants keys:
- [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
products keys:
- [3, 8]
- [0, 1, 2, 4, 5, 6, 7, 9]
reaction class: elimination
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
"
S(281) = HO2(18) + C3H4(254),"AMChI=1/C3H5O2/c1-3-2-5-4-6-3/h1-2H2/k5-2,6-3/f6-4/r0","atoms:
  0: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-1: {order: 1, stereo_parity: null}
  0-5: {order: 1, stereo_parity: null}
  0-6: {order: 1, stereo_parity: null}
  1-2: {order: 1, stereo_parity: null}
  1-7: {order: 0.9, stereo_parity: null}
  2-4: {order: 0.9, stereo_parity: null}
  2-8: {order: 1, stereo_parity: null}
  2-9: {order: 1, stereo_parity: null}
  3-4: {order: 1, stereo_parity: null}
  3-7: {order: 0.1, stereo_parity: null}
reactants keys:
- [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
products keys:
- [3, 4, 7]
- [0, 2, 1, 5, 6, 8, 9]
reaction class: elimination
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
"
S(282) = HO2(18) + C3H4(254),"AMChI=1/C3H5O2/c1-3-2-6-4-5-3/h1-2H2/k5-3,6-2/f6-4/r0","atoms:
  0: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-2: {order: 1, stereo_parity: null}
  0-5: {order: 1, stereo_parity: null}
  0-6: {order: 1, stereo_parity: null}
  1-2: {order: 1, stereo_parity: null}
  1-7: {order: 0.9, stereo_parity: null}
  1-8: {order: 1, stereo_parity: null}
  1-9: {order: 1, stereo_parity: null}
  2-4: {order: 0.9, stereo_parity: null}
  3-4: {order: 1, stereo_parity: null}
  3-7: {order: 0.1, stereo_parity: null}
reactants keys:
- [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
products keys:
- [3, 4, 7]
- [0, 1, 2, 5, 6, 8, 9]
reaction class: elimination
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
"
S(282) = S(1970),"AMChI=1/C3H5O2/c1-3(2)4-5-3/h1H2,2H3/k4-3/r1","atoms:
  0: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-2: {order: 1, stereo_parity: null}
  0-5: {order: 1, stereo_parity: null}
  0-6: {order: 1, stereo_parity: null}
  1-2: {order: 1, stereo_parity: null}
  1-7: {order: 1, stereo_parity: null}
  1-8: {order: 1, stereo_parity: null}
  1-9: {order: 1, stereo_parity: null}
  2-3: {order: 0.1, stereo_parity: null}
  2-4: {order: 1, stereo_parity: null}
  3-4: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
products keys:
- [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
reaction class: addition
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
"
S(283) = HO(21) + S(1493),"AMChI=1/C3H5O2/c1-3-2-5(3)4/h4H,1-2H2/k5-4/f5-2/r0","atoms:
  0: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-2: {order: 1, stereo_parity: null}
  0-5: {order: 1, stereo_parity: null}
  0-6: {order: 1, stereo_parity: null}
  1-2: {order: 1, stereo_parity: null}
  1-4: {order: 0.1, stereo_parity: null}
  1-7: {order: 1, stereo_parity: null}
  1-8: {order: 1, stereo_parity: null}
  2-4: {order: 1, stereo_parity: null}
  3-4: {order: 0.9, stereo_parity: null}
  3-9: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
products keys:
- [3, 9]
- [0, 1, 2, 4, 5, 6, 7, 8]
reaction class: ring forming scission
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
"
S(283) = S(282),AMChI=1/C3H5O2/c1-3-2-6-4-5-3/h1-2H2/k6-4/f6-2/r0,"atoms:
  0: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-2: {order: 1, stereo_parity: null}
  0-5: {order: 1, stereo_parity: null}
  0-6: {order: 1, stereo_parity: null}
  0-9: {order: 0.1, stereo_parity: null}
  1-2: {order: 1, stereo_parity: null}
  1-7: {order: 1, stereo_parity: null}
  1-8: {order: 1, stereo_parity: null}
  2-4: {order: 1, stereo_parity: null}
  3-4: {order: 1, stereo_parity: null}
  3-9: {order: 0.9, stereo_parity: null}
reactants keys:
- [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
products keys:
- [1, 0, 2, 3, 4, 7, 8, 6, 9, 5]
reaction class: hydrogen migration
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
"
S(286) = S(282),"AMChI=1/C3H5O2/c2-3-1-6-4-5-3/h1H,2H3/k6-4/f6-1/r0","atoms:
  0: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-2: {order: 1, stereo_parity: null}
  0-5: {order: 1, stereo_parity: null}
  0-9: {order: 0.1, stereo_parity: null}
  1-2: {order: 1, stereo_parity: null}
  1-6: {order: 1, stereo_parity: null}
  1-7: {order: 1, stereo_parity: null}
  1-8: {order: 1, stereo_parity: null}
  2-4: {order: 1, stereo_parity: null}
  3-4: {order: 1, stereo_parity: null}
  3-9: {order: 0.9, stereo_parity: null}
reactants keys:
- [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
products keys:
- [0, 1, 2, 3, 4, 9, 5, 6, 7, 8]
reaction class: hydrogen migration
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
"
S(286) = S(283),"AMChI=1/C3H5O2/c4-5-3-1-6-2-3/h1,4H,2H2/k6-2/f6-1/r0","atoms:
  0: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-2: {order: 1, stereo_parity: null}
  0-5: {order: 1, stereo_parity: null}
  0-8: {order: 0.1, stereo_parity: null}
  1-2: {order: 1, stereo_parity: null}
  1-6: {order: 1, stereo_parity: null}
  1-7: {order: 1, stereo_parity: null}
  1-8: {order: 0.9, stereo_parity: null}
  2-4: {order: 1, stereo_parity: null}
  3-4: {order: 1, stereo_parity: null}
  3-9: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
products keys:
- [1, 0, 2, 3, 4, 6, 7, 5, 8, 9]
reaction class: hydrogen migration
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
"
S(2899) = S(2710),"AMChI=1/C5H7O2/c1-5-2-4-6-8-3(5)7-4/h2-3,5H,1H3/k8-6/f8-3/r0","atoms:
  0: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  11: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  12: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  13: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-3: {order: 1, stereo_parity: null}
  0-7: {order: 1, stereo_parity: null}
  0-8: {order: 1, stereo_parity: null}
  0-9: {order: 1, stereo_parity: null}
  1-3: {order: 1, stereo_parity: null}
  1-4: {order: 1, stereo_parity: null}
  1-10: {order: 1, stereo_parity: null}
  2-3: {order: 1, stereo_parity: null}
  2-6: {order: 1, stereo_parity: null}
  2-11: {order: 1, stereo_parity: null}
  2-13: {order: 0.1, stereo_parity: null}
  3-12: {order: 1, stereo_parity: null}
  4-5: {order: 1, stereo_parity: null}
  4-6: {order: 1, stereo_parity: null}
  5-13: {order: 0.9, stereo_parity: null}
reactants keys:
- [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
products keys:
- [0, 1, 2, 3, 4, 5, 6, 9, 7, 8, 10, 13, 11, 12]
reaction class: hydrogen migration
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
"
S(2915) = S(1151),"AMChI=1/C5H9O/c1-3-4-5(6)2-7-3/h5-6H,1-2,4H2/k7-3/f7-2/r1","atoms:
  0: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  11: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  12: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  13: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  14: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-2: {order: 1, stereo_parity: null}
  0-6: {order: 1, stereo_parity: null}
  0-7: {order: 1, stereo_parity: null}
  1-4: {order: 1, stereo_parity: null}
  1-8: {order: 0.9, stereo_parity: null}
  1-9: {order: 1, stereo_parity: null}
  1-10: {order: 1, stereo_parity: null}
  2-3: {order: 1, stereo_parity: null}
  2-8: {order: 0.1, stereo_parity: null}
  3-4: {order: 1, stereo_parity: null}
  3-11: {order: 1, stereo_parity: null}
  3-12: {order: 1, stereo_parity: null}
  4-5: {order: 1, stereo_parity: null}
  4-13: {order: 1, stereo_parity: null}
  5-14: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]
products keys:
- [0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 8, 11, 12, 13, 14]
reaction class: hydrogen migration
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
"
S(3029) = S(3045),"AMChI=1/C5H7O2/c6-4-2-7-5-1-8-3(4)5/h2-3,5-6H,1H2/k8-3/f8-1/r0","atoms:
  0: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  11: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  12: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  13: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-3: {order: 1, stereo_parity: null}
  0-7: {order: 1, stereo_parity: null}
  0-8: {order: 1, stereo_parity: null}
  0-9: {order: 0.1, stereo_parity: null}
  1-3: {order: 1, stereo_parity: null}
  1-4: {order: 1, stereo_parity: null}
  1-9: {order: 0.9, stereo_parity: null}
  1-10: {order: 1, stereo_parity: null}
  2-4: {order: 1, stereo_parity: null}
  2-6: {order: 1, stereo_parity: null}
  2-11: {order: 1, stereo_parity: null}
  3-6: {order: 1, stereo_parity: null}
  3-12: {order: 1, stereo_parity: null}
  4-5: {order: 1, stereo_parity: null}
  5-13: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
products keys:
- [0, 1, 2, 3, 4, 5, 6, 8, 9, 7, 10, 11, 12, 13]
reaction class: hydrogen migration
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
"
S(3053) = S(1548),"AMChI=1/C5H7O2/c7-4-5-3-2-1-8-6-5/h2-4,7H,1H2/k8-6/f8-1/r1","atoms:
  0: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  11: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  12: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  13: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-1: {order: 1, stereo_parity: null}
  0-7: {order: 1, stereo_parity: null}
  0-8: {order: 0.9, stereo_parity: null}
  0-9: {order: 1, stereo_parity: null}
  1-2: {order: 1, stereo_parity: null}
  1-10: {order: 1, stereo_parity: null}
  2-4: {order: 1, stereo_parity: null}
  2-11: {order: 1, stereo_parity: null}
  3-4: {order: 1, stereo_parity: null}
  3-5: {order: 1, stereo_parity: null}
  3-12: {order: 1, stereo_parity: null}
  4-6: {order: 1, stereo_parity: null}
  5-13: {order: 1, stereo_parity: null}
  6-8: {order: 0.1, stereo_parity: null}
reactants keys:
- [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
products keys:
- [0, 1, 2, 3, 4, 5, 6, 9, 7, 10, 11, 12, 13, 8]
reaction class: hydrogen migration
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
"
S(311) = C5H7O2(72),"AMChI=1/C5H7O2/c6-2-1-3-4-5(2)7/h2H,1,3-4H2/k2-1/r1","atoms:
  0: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  11: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  12: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  13: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-1: {order: 1, stereo_parity: null}
  0-3: {order: 0.1, stereo_parity: null}
  0-7: {order: 1, stereo_parity: null}
  0-8: {order: 1, stereo_parity: null}
  1-2: {order: 1, stereo_parity: null}
  1-9: {order: 1, stereo_parity: null}
  1-10: {order: 1, stereo_parity: null}
  2-4: {order: 1, stereo_parity: null}
  2-11: {order: 1, stereo_parity: null}
  2-12: {order: 1, stereo_parity: null}
  3-4: {order: 1, stereo_parity: null}
  3-5: {order: 1, stereo_parity: null}
  3-13: {order: 1, stereo_parity: null}
  4-6: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
products keys:
- [1, 0, 2, 3, 4, 5, 6, 9, 10, 7, 8, 11, 12, 13]
reaction class: addition
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
"
S(311) = S(394),"AMChI=1/C5H7O2/c6-2-5-4-3-1-7-5/h2H,1,3-4H2/k7-1/r1","atoms:
  0: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  11: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  12: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  13: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-1: {order: 1, stereo_parity: null}
  0-6: {order: 0.1, stereo_parity: null}
  0-7: {order: 1, stereo_parity: null}
  0-8: {order: 1, stereo_parity: null}
  1-2: {order: 1, stereo_parity: null}
  1-9: {order: 1, stereo_parity: null}
  1-10: {order: 1, stereo_parity: null}
  2-4: {order: 1, stereo_parity: null}
  2-11: {order: 1, stereo_parity: null}
  2-12: {order: 1, stereo_parity: null}
  3-4: {order: 1, stereo_parity: null}
  3-5: {order: 1, stereo_parity: null}
  3-13: {order: 1, stereo_parity: null}
  4-6: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
products keys:
- [1, 2, 0, 3, 4, 5, 6, 9, 10, 11, 12, 7, 8, 13]
reaction class: addition
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
"
